"","subject_id","subject_language.x","survey_time","chrome","firefox","IE","safari","opera","other","don't know","headphones","speakers","earbuds","very bad","bad","normal","good","very good","distractions_yes","distractions_no","wireless","wired","very_slowly","slowly","tolerably_so","pretty_fast","no_loading_time","satisfaction","subject_language.y","18-29yrs","30-39yrs","40-49yrs","50-59yrs","60-69yrs","more_than_69yrs","handedness_L","handedness_R","french_native","french_non_native","lang_other_target_no","lang_other_target_yes","other_lang_na","other_lang_na2","other_lang_native","other_lang_bcpdexp","other_lang_assezdexp","other_lang_unpeudexp","other_lang_trespeudexp","other_lang_comp_na","other_lang_comp_na2","other_lang_comp_native","other_lang_presque_native","other_lang_avancee","other_lang_intermediare","other_lang_debutant","hear_vis_problems_yes","hear_vis_problems_no","troubles_de_lang_yes","troubles_de_lang_no","ling_course_yes","ling_course_no","phonet_course_yes","phonet_course_no","phonog_course_yes","phonog_course_no","subject_language","trial_type","tripletid","S-order","A_Order","RT","order","first_sound","second_sound","paid_attention","corr_ans","context","file_OTH","file_TGT","file_X","speaker_OTH","speaker_TGT","speaker_X","vowel_OTH","vowel_TGT","vowel_X","vowel_eng","vowel_fr","word_OTH","word_TGT","word_X","user_resp","user_corr"
"1","X_BXDUYGLTPI","eng","0:22.2",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,83,"eng",1,0,0,0,0,0,0,1,NA,NA,1,0,1,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,"eng","prot_catch_trial","triplet35","orderSI=31","orderAI=16","0:3.7","16;",0,1,NA,"B","F_P","veronique_fr_8","maureen_eng_219","jeremy_eng_219","veronique","maureen","jeremy","U","IH","IH","IH","U","FUP","FIHP","FIHP","B",1
"2","X_BXDUYGLTPI","eng","0:22.2",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,83,"eng",1,0,0,0,0,0,0,1,NA,NA,1,0,1,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,"eng","prot_catch_trial","triplet27","orderSI=22","orderAI=17","0:3.7","17;",0,1,NA,"B","V_G","veronique_fr_47","maureen_eng_76","ewan_eng_77","veronique","maureen","ewan","E","AH","AH","AH","E","VEG","VAHG","VAHG","B",1
"3","X_BXDUYGLTPI","eng","0:22.2",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,83,"eng",1,0,0,0,0,0,0,1,NA,NA,1,0,1,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,"eng","prot_catch_trial","triplet23","orderSI=29","orderAI=18","0:3.1","18;",0,1,NA,"B","Z_D","veronique_fr_69","maureen_eng_68","jeremy_eng_68","veronique","maureen","jeremy","I","AH","AH","AH","I","ZID","ZAHD","ZAHD","B",1
"4","X_BXDUYGLTPI","eng","0:22.2",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,83,"eng",1,0,0,0,0,0,0,1,NA,NA,1,0,1,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,"eng","prot_catch_trial","triplet107","orderSI=52","orderAI=19","0:4.1","19;",0,1,NA,"B","V_SH","maureen_fr_166","veronique_eng_33","ewan_eng_36","maureen","veronique","ewan","O","UH","UH","UH","O","VOSH","VUHSH","VUHSH","B",1
"5","X_BXDUYGLTPI","eng","0:22.2",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,83,"eng",1,0,0,0,0,0,0,1,NA,NA,1,0,1,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,"eng","prot_catch_trial","triplet104","orderSI=38","orderAI=20","0:3.8","20;",1,0,NA,"A","Z_V","veronique_eng_221","maureen_fr_23","marc_fr_18","veronique","maureen","marc","IH","U","U","IH","U","ZIHV","ZUV","ZUV","A",1
"6","X_BXDUYGLTPI","eng","0:22.2",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,83,"eng",1,0,0,0,0,0,0,1,NA,NA,1,0,1,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,"eng","prot_catch_trial","triplet19","orderSI=19","orderAI=21","0:3.1","21;",0,1,NA,"B","Z_V","veronique_fr_164","maureen_eng_23","jeremy_eng_23","veronique","maureen","jeremy","A","UH","UH","UH","A","ZAV","ZUHV","ZUHV","B",1
"7","X_BXDUYGLTPI","eng","0:22.2",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,83,"eng",1,0,0,0,0,0,0,1,NA,NA,1,0,1,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,"eng","prot_catch_trial","triplet110","orderSI=41","orderAI=22","0:3.6","22;",0,1,NA,"B","SH_S","maureen_eng_31","veronique_fr_107","remi_fr_106","maureen","veronique","remi","UH","I","I","UH","I","SHUHS","SHIS","SHIS","B",1
"8","X_BXDUYGLTPI","eng","0:22.2",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,83,"eng",1,0,0,0,0,0,0,1,NA,NA,1,0,1,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,"eng","prot_catch_trial","triplet90","orderSI=36","orderAI=23","0:3.8","23;",0,1,NA,"B","V_F","veronique_eng_59","maureen_fr_68","marc_fr_60","veronique","maureen","marc","AE","E","E","AE","E","VAEF","VEF","VEF","B",1
"9","X_BXDUYGLTPI","eng","0:22.2",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,83,"eng",1,0,0,0,0,0,0,1,NA,NA,1,0,1,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,"eng","prot_catch_trial","triplet20","orderSI=33","orderAI=24","0:3.9","24;",1,0,NA,"A","Z_B","maureen_eng_4","veronique_fr_82","marc_fr_77","maureen","veronique","marc","UH","Y","Y","UH","Y","ZUHB","ZYB","ZYB","A",1
"10","X_BXDUYGLTPI","eng","0:22.2",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,83,"eng",1,0,0,0,0,0,0,1,NA,NA,1,0,1,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,"eng","prot_catch_trial","triplet18","orderSI=18","orderAI=25","0:4.4","25;",0,1,NA,"B","Z_F","veronique_eng_219","maureen_fr_169","marc_fr_159","veronique","maureen","marc","IH","A","A","IH","A","ZIHF","ZAF","ZAF","B",1
