CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,word_OTH,word_TGT,word_X,distance_OTH,distance_TGT
A,Z_F,veronique_fr_52,maureen_eng_21,jeremy_eng_21,veronique,maureen,jeremy,triplet1,E,UH,UH,ZEF,ZUHF,ZUHF,0.40084060813421746,0.39569017730517697
B,V_B,maureen_eng_46,veronique_fr_215,remi_fr_216,maureen,veronique,remi,triplet2,AE,A,A,VAEB,VAB,VAB,0.3709255480640438,0.31642980311004404
B,SH_S,maureen_fr_147,veronique_eng_226,jeremy_eng_237,maureen,veronique,jeremy,triplet3,OE,IH,IH,SHOES,SHIHS,SHIHS,0.34298208448688067,0.15994397042161632
A,Z_SH,maureen_eng_231,veronique_fr_53,remi_fr_53,maureen,veronique,remi,triplet4,IH,E,E,ZIHSH,ZESH,ZESH,0.253197703469678,0.22538516458827945
A,S_G,veronique_fr_6,maureen_eng_217,ewan_eng_223,veronique,maureen,ewan,triplet5,U,IH,IH,SUG,SIHG,SIHG,0.3087530202367586,0.2366034959693781
B,V_K,veronique_eng_214,maureen_fr_196,remi_fr_190,veronique,maureen,remi,triplet6,IH,OE,OE,VIHK,VOEK,VOEK,0.4212026553089406,0.32592703658649963
B,S_F,veronique_fr_166,maureen_eng_53,jeremy_eng_53,veronique,maureen,jeremy,triplet7,A,AE,AE,SAF,SAEF,SAEF,0.3270265516682367,0.2655365001690742
A,V_Z,veronique_eng_30,maureen_fr_150,marc_fr_140,veronique,maureen,marc,triplet8,UH,OE,OE,VUHZ,VOEZ,VOEZ,0.3555247080433342,0.4784880486110879
A,V_B,maureen_fr_100,veronique_eng_17,jeremy_eng_17,maureen,veronique,jeremy,triplet9,Y,UH,UH,VYB,VUHB,VUHB,0.4539103242873099,0.31307510132544647
B,SH_V,veronique_eng_29,maureen_fr_177,remi_fr_168,veronique,maureen,remi,triplet10,UH,A,A,SHUHV,SHAV,SHAV,0.3423096513478945,0.2968865108478921
B,Z_SH,maureen_fr_118,veronique_eng_220,jeremy_eng_231,maureen,veronique,jeremy,triplet11,Y,IH,IH,ZYSH,ZIHSH,ZIHSH,0.32039911031480534,0.23002915426704432
A,SH_V,maureen_eng_59,veronique_fr_144,marc_fr_139,maureen,veronique,marc,triplet12,AE,OE,OE,SHAEV,SHOEV,SHOEV,0.3839226072790329,0.22008250566817802
A,SH_B,veronique_fr_74,maureen_eng_73,jeremy_eng_73,veronique,maureen,jeremy,triplet13,I,AH,AH,SHIB,SHAHB,SHAHB,0.3297117852773039,0.33327767534155867
B,Z_D,veronique_eng_5,maureen_fr_5,remi_fr_5,veronique,maureen,remi,triplet14,UH,U,U,ZUHD,ZUD,ZUD,0.31071310842474564,0.3315402792137531
B,Z_D,maureen_fr_203,veronique_eng_36,ewan_eng_39,maureen,veronique,ewan,triplet15,O,AE,AE,ZOD,ZAED,ZAED,0.38518825422135705,0.26208154723827964
